date,links_built,articles_assigned,content_orders_delivered,articles_edited,total_work_complete
06/04/2020,42,88,44,125,299
07/04/2020,44,59,16,110,229
08/04/2020,39,85,17,138,279
09/04/2020,51,75,32,124,282
10/04/2020,18,35,21,96,170
13/04/2020,30,72,31,135,268
14/04/2020,45,45,23,124,237
15/04/2020,33,100,34,114,281
16/04/2020,91,134,63,60,348
17/04/2020,61,92,27,116,296
20/04/2020,53,121,25,120,319
21/04/2020,53,87,54,97,291
22/04/2020,63,106,29,145,343
23/04/2020,50,152,29,156,387
24/04/2020,69,89,49,139,346
27/04/2020,86,81,37,151,355
28/04/2020,93,75,64,140,372
29/04/2020,113,87,51,168,419
06/05/2020,57,94,7,90,248
07/05/2020,40,61,29,85,215
08/05/2020,46,127,26,108,307
11/05/2020,58,117,54,174,403
12/05/2020,78,119,10,129,336
13/05/2020,65,83,13,100,261
14/05/2020,39,125,14,97,275
15/05/2020,73,47,15,130,265
18/05/2020,120,77,22,131,350
19/05/2020,84,62,16,135,297
20/05/2020,94,51,19,119,283
21/05/2020,62,78,38,100,278
22/05/2020,70,71,18,80,239
25/05/2020,37,43,3,100,183
26/05/2020,61,42,28,125,256
27/05/2020,75,89,25,108,297
28/05/2020,90,93,84,108,375
29/05/2020,78,110,17,105,310
02/06/2020,14,41,103,56,214
03/06/2020,30,87,24,91,232
04/06/2020,34,141,0,73,248
05/06/2020,47,115,23,89,274
08/06/2020,40,171,24,117,352
09/06/2020,32,98,8,104,242
10/06/2020,59,91,35,117,302
11/06/2020,54,173,6,98,331
12/06/2020,75,138,15,127,355
15/06/2020,73,62,15,148,298
16/06/2020,72,86,22,156,336
17/06/2020,78,118,16,107,319
18/06/2020,60,45,17,138,260
19/06/2020,76,73,31,131,311
22/06/2020,80,66,39,137,322
23/06/2020,80,69,40,134,323
24/06/2020,69,44,27,159,299
25/06/2020,64,69,0,132,265
26/06/2020,67,114,97,113,391
29/06/2020,80,93,31,108,312
30/06/2020,31,75,29,112,247
03/07/2020,42,129,8,72,251
06/07/2020,35,178,26,69,308
07/07/2020,57,106,35,63,261
08/07/2020,37,203,31,69,340
09/07/2020,52,83,21,121,277
10/07/2020,56,88,25,115,284
13/07/2020,32,143,12,155,342
14/07/2020,71,90,16,140,317
15/07/2020,79,83,49,139,350
16/07/2020,51,48,53,143,295
17/07/2020,80,37,22,154,293
20/07/2020,76,61,57,106,300
21/07/2020,59,84,21,124,288
22/07/2020,83,85,19,158,345
23/07/2020,96,59,13,118,286
24/07/2020,63,31,39,130,263
27/07/2020,60,75,41,97,273
28/07/2020,85,80,40,94,299
29/07/2020,58,143,35,78,314
30/07/2020,50,94,44,80,268
31/07/2020,41,121,32,109,303
